DP,DPNOM,AÑO,ÁREA GEOGRÁFICA,Población
73.0,Tolima,2026.0,Cabecera,961.671
73.0,Tolima,2026.0,Centros Poblados y Rural Disperso,430.448
73.0,Tolima,2026.0,Total,1.392.119
73.0,Tolima,2027.0,Cabecera,966.011
73.0,Tolima,2027.0,Centros Poblados y Rural Disperso,431.090
73.0,Tolima,2027.0,Total,1.397.101
73.0,Tolima,2028.0,Cabecera,969.866
73.0,Tolima,2028.0,Centros Poblados y Rural Disperso,431.935
73.0,Tolima,2028.0,Total,1.401.801
73.0,Tolima,2029.0,Cabecera,973.418
73.0,Tolima,2029.0,Centros Poblados y Rural Disperso,432.832
73.0,Tolima,2029.0,Total,1.406.250
73.0,Tolima,2030.0,Cabecera,976.595
73.0,Tolima,2030.0,Centros Poblados y Rural Disperso,433.889
73.0,Tolima,2030.0,Total,1.410.484
73.0,Tolima,2031.0,Cabecera,979.514
73.0,Tolima,2031.0,Centros Poblados y Rural Disperso,434.983
73.0,Tolima,2031.0,Total,1.414.497
73.0,Tolima,2032.0,Cabecera,982.188
73.0,Tolima,2032.0,Centros Poblados y Rural Disperso,436.076
73.0,Tolima,2032.0,Total,1.418.264
73.0,Tolima,2033.0,Cabecera,984.672
73.0,Tolima,2033.0,Centros Poblados y Rural Disperso,437.089
73.0,Tolima,2033.0,Total,1.421.761
73.0,Tolima,2034.0,Cabecera,986.913
73.0,Tolima,2034.0,Centros Poblados y Rural Disperso,438.061
73.0,Tolima,2034.0,Total,1.424.974
73.0,Tolima,2035.0,Cabecera,989.016
73.0,Tolima,2035.0,Centros Poblados y Rural Disperso,438.882
73.0,Tolima,2035.0,Total,1.427.898
73.0,Tolima,2036.0,Total,1.430.518
73.0,Tolima,2037.0,Total,1.432.810
73.0,Tolima,2038.0,Total,1.434.767
73.0,Tolima,2039.0,Total,1.436.410
73.0,Tolima,2040.0,Total,1.437.731
73.0,Tolima,2041.0,Total,1.438.733
73.0,Tolima,2042.0,Total,1.439.421
73.0,Tolima,2043.0,Total,1.439.790
73.0,Tolima,2044.0,Total,1.439.846
73.0,Tolima,2045.0,Total,1.439.590
73.0,Tolima,2046.0,Total,1.439.030
73.0,Tolima,2047.0,Total,1.438.161
73.0,Tolima,2048.0,Total,1.436.969
73.0,Tolima,2049.0,Total,1.435.469
73.0,Tolima,2050.0,Total,1.433.661
76.0,Valle del Cauca,2020.0,Cabecera,3.906.328
76.0,Valle del Cauca,2020.0,Centros Poblados y Rural Disperso,676.049
76.0,Valle del Cauca,2020.0,Total,4.582.377
76.0,Valle del Cauca,2021.0,Cabecera,3.937.232
76.0,Valle del Cauca,2021.0,Centros Poblados y Rural Disperso,676.532
76.0,Valle del Cauca,2021.0,Total,4.613.764
76.0,Valle del Cauca,2022.0,Cabecera,3.954.741
76.0,Valle del Cauca,2022.0,Centros Poblados y Rural Disperso,671.323
76.0,Valle del Cauca,2022.0,Total,4.626.064
76.0,Valle del Cauca,2023.0,Cabecera,3.972.260
76.0,Valle del Cauca,2023.0,Centros Poblados y Rural Disperso,665.769
76.0,Valle del Cauca,2023.0,Total,4.638.029
76.0,Valle del Cauca,2024.0,Cabecera,3.986.159
76.0,Valle del Cauca,2024.0,Centros Poblados y Rural Disperso,661.208
76.0,Valle del Cauca,2024.0,Total,4.647.367
76.0,Valle del Cauca,2025.0,Cabecera,3.995.831
76.0,Valle del Cauca,2025.0,Centros Poblados y Rural Disperso,656.681
76.0,Valle del Cauca,2025.0,Total,4.652.512
76.0,Valle del Cauca,2026.0,Cabecera,4.002.306
76.0,Valle del Cauca,2026.0,Centros Poblados y Rural Disperso,652.129
76.0,Valle del Cauca,2026.0,Total,4.654.435
76.0,Valle del Cauca,2027.0,Cabecera,4.006.898
76.0,Valle del Cauca,2027.0,Centros Poblados y Rural Disperso,647.599
76.0,Valle del Cauca,2027.0,Total,4.654.497
76.0,Valle del Cauca,2028.0,Cabecera,4.009.994
76.0,Valle del Cauca,2028.0,Centros Poblados y Rural Disperso,643.230
76.0,Valle del Cauca,2028.0,Total,4.653.224
76.0,Valle del Cauca,2029.0,Cabecera,4.012.013
76.0,Valle del Cauca,2029.0,Centros Poblados y Rural Disperso,639.026
76.0,Valle del Cauca,2029.0,Total,4.651.039
76.0,Valle del Cauca,2030.0,Cabecera,4.013.254
76.0,Valle del Cauca,2030.0,Centros Poblados y Rural Disperso,635.090
76.0,Valle del Cauca,2030.0,Total,4.648.344
76.0,Valle del Cauca,2031.0,Cabecera,4.013.782
76.0,Valle del Cauca,2031.0,Centros Poblados y Rural Disperso,631.270
76.0,Valle del Cauca,2031.0,Total,4.645.052
76.0,Valle del Cauca,2032.0,Cabecera,4.013.441
76.0,Valle del Cauca,2032.0,Centros Poblados y Rural Disperso,627.386
76.0,Valle del Cauca,2032.0,Total,4.640.827
76.0,Valle del Cauca,2033.0,Cabecera,4.012.193
76.0,Valle del Cauca,2033.0,Centros Poblados y Rural Disperso,623.430
76.0,Valle del Cauca,2033.0,Total,4.635.623
76.0,Valle del Cauca,2034.0,Cabecera,4.010.101
76.0,Valle del Cauca,2034.0,Centros Poblados y Rural Disperso,619.356
76.0,Valle del Cauca,2034.0,Total,4.629.457
76.0,Valle del Cauca,2035.0,Cabecera,4.007.109
76.0,Valle del Cauca,2035.0,Centros Poblados y Rural Disperso,615.225
76.0,Valle del Cauca,2035.0,Total,4.622.334
76.0,Valle del Cauca,2036.0,Total,4.614.095
76.0,Valle del Cauca,2037.0,Total,4.604.584
76.0,Valle del Cauca,2038.0,Total,4.593.796
76.0,Valle del Cauca,2039.0,Total,4.581.744
76.0,Valle del Cauca,2040.0,Total,4.568.409
76.0,Valle del Cauca,2041.0,Total,4.553.785
76.0,Valle del Cauca,2042.0,Total,4.537.908
76.0,Valle del Cauca,2043.0,Total,4.520.802
76.0,Valle del Cauca,2044.0,Total,4.502.469
76.0,Valle del Cauca,2045.0,Total,4.482.916
76.0,Valle del Cauca,2046.0,Total,4.462.183
76.0,Valle del Cauca,2047.0,Total,4.440.324
76.0,Valle del Cauca,2048.0,Total,4.417.360
76.0,Valle del Cauca,2049.0,Total,4.393.312
76.0,Valle del Cauca,2050.0,Total,4.368.211
81.0,Arauca,2020.0,Cabecera,189.171
81.0,Arauca,2020.0,Centros Poblados y Rural Disperso,102.081
81.0,Arauca,2020.0,Total,291.252
81.0,Arauca,2021.0,Cabecera,194.149
81.0,Arauca,2021.0,Centros Poblados y Rural Disperso,106.488
81.0,Arauca,2021.0,Total,300.637
81.0,Arauca,2022.0,Cabecera,198.159
81.0,Arauca,2022.0,Centros Poblados y Rural Disperso,109.469
81.0,Arauca,2022.0,Total,307.628
81.0,Arauca,2023.0,Cabecera,201.155
81.0,Arauca,2023.0,Centros Poblados y Rural Disperso,111.942
81.0,Arauca,2023.0,Total,313.097
81.0,Arauca,2024.0,Cabecera,203.505
81.0,Arauca,2024.0,Centros Poblados y Rural Disperso,113.893
81.0,Arauca,2024.0,Total,317.398
81.0,Arauca,2025.0,Cabecera,205.266
81.0,Arauca,2025.0,Centros Poblados y Rural Disperso,115.457
81.0,Arauca,2025.0,Total,320.723
81.0,Arauca,2026.0,Cabecera,206.604
81.0,Arauca,2026.0,Centros Poblados y Rural Disperso,116.742
81.0,Arauca,2026.0,Total,323.346
81.0,Arauca,2027.0,Cabecera,207.626
81.0,Arauca,2027.0,Centros Poblados y Rural Disperso,117.901
81.0,Arauca,2027.0,Total,325.527
81.0,Arauca,2028.0,Cabecera,208.560
81.0,Arauca,2028.0,Centros Poblados y Rural Disperso,118.880
81.0,Arauca,2028.0,Total,327.440
81.0,Arauca,2029.0,Cabecera,209.430
81.0,Arauca,2029.0,Centros Poblados y Rural Disperso,119.807
81.0,Arauca,2029.0,Total,329.237
81.0,Arauca,2030.0,Cabecera,210.356
81.0,Arauca,2030.0,Centros Poblados y Rural Disperso,120.681
81.0,Arauca,2030.0,Total,331.037
81.0,Arauca,2031.0,Cabecera,211.220
81.0,Arauca,2031.0,Centros Poblados y Rural Disperso,121.621
81.0,Arauca,2031.0,Total,332.841
81.0,Arauca,2032.0,Cabecera,212.087
81.0,Arauca,2032.0,Centros Poblados y Rural Disperso,122.502
81.0,Arauca,2032.0,Total,334.589
81.0,Arauca,2033.0,Cabecera,212.898
81.0,Arauca,2033.0,Centros Poblados y Rural Disperso,123.371
81.0,Arauca,2033.0,Total,336.269
81.0,Arauca,2034.0,Cabecera,213.648
81.0,Arauca,2034.0,Centros Poblados y Rural Disperso,124.245
81.0,Arauca,2034.0,Total,337.893
81.0,Arauca,2035.0,Cabecera,214.332
81.0,Arauca,2035.0,Centros Poblados y Rural Disperso,125.133
81.0,Arauca,2035.0,Total,339.465
81.0,Arauca,2036.0,Total,340.958
81.0,Arauca,2037.0,Total,342.354
81.0,Arauca,2038.0,Total,343.655
81.0,Arauca,2039.0,Total,344.859
81.0,Arauca,2040.0,Total,345.971
81.0,Arauca,2041.0,Total,346.993
81.0,Arauca,2042.0,Total,347.927
81.0,Arauca,2043.0,Total,348.780
81.0,Arauca,2044.0,Total,349.545
81.0,Arauca,2045.0,Total,350.213
81.0,Arauca,2046.0,Total,350.787
81.0,Arauca,2047.0,Total,351.278
81.0,Arauca,2048.0,Total,351.679
81.0,Arauca,2049.0,Total,351.986
81.0,Arauca,2050.0,Total,352.194
85.0,Casanare,2020.0,Cabecera,315.408
85.0,Casanare,2020.0,Centros Poblados y Rural Disperso,128.124
85.0,Casanare,2020.0,Total,443.532
85.0,Casanare,2021.0,Cabecera,323.586
85.0,Casanare,2021.0,Centros Poblados y Rural Disperso,128.512
85.0,Casanare,2021.0,Total,452.098
85.0,Casanare,2022.0,Cabecera,330.773
85.0,Casanare,2022.0,Centros Poblados y Rural Disperso,129.200
85.0,Casanare,2022.0,Total,459.973
85.0,Casanare,2023.0,Cabecera,337.972
85.0,Casanare,2023.0,Centros Poblados y Rural Disperso,129.803
85.0,Casanare,2023.0,Total,467.775
85.0,Casanare,2024.0,Cabecera,344.587
85.0,Casanare,2024.0,Centros Poblados y Rural Disperso,130.557
85.0,Casanare,2024.0,Total,475.144
85.0,Casanare,2025.0,Cabecera,350.721
85.0,Casanare,2025.0,Centros Poblados y Rural Disperso,131.217
85.0,Casanare,2025.0,Total,481.938
85.0,Casanare,2026.0,Cabecera,356.398
85.0,Casanare,2026.0,Centros Poblados y Rural Disperso,131.860
85.0,Casanare,2026.0,Total,488.258
85.0,Casanare,2027.0,Cabecera,361.777
85.0,Casanare,2027.0,Centros Poblados y Rural Disperso,132.474
85.0,Casanare,2027.0,Total,494.251
85.0,Casanare,2028.0,Cabecera,366.830
85.0,Casanare,2028.0,Centros Poblados y Rural Disperso,133.149
85.0,Casanare,2028.0,Total,499.979
85.0,Casanare,2029.0,Cabecera,371.636
85.0,Casanare,2029.0,Centros Poblados y Rural Disperso,133.868
85.0,Casanare,2029.0,Total,505.504
85.0,Casanare,2030.0,Cabecera,376.204
85.0,Casanare,2030.0,Centros Poblados y Rural Disperso,134.686
85.0,Casanare,2030.0,Total,510.890
85.0,Casanare,2031.0,Cabecera,380.654
85.0,Casanare,2031.0,Centros Poblados y Rural Disperso,135.489
85.0,Casanare,2031.0,Total,516.143
85.0,Casanare,2032.0,Cabecera,384.955
85.0,Casanare,2032.0,Centros Poblados y Rural Disperso,136.285
85.0,Casanare,2032.0,Total,521.240
85.0,Casanare,2033.0,Cabecera,389.134
85.0,Casanare,2033.0,Centros Poblados y Rural Disperso,137.036
85.0,Casanare,2033.0,Total,526.170
85.0,Casanare,2034.0,Cabecera,393.186
85.0,Casanare,2034.0,Centros Poblados y Rural Disperso,137.751
85.0,Casanare,2034.0,Total,530.937
85.0,Casanare,2035.0,Cabecera,397.134
85.0,Casanare,2035.0,Centros Poblados y Rural Disperso,138.413
85.0,Casanare,2035.0,Total,535.547
85.0,Casanare,2036.0,Total,539.985
85.0,Casanare,2037.0,Total,544.245
85.0,Casanare,2038.0,Total,548.338
85.0,Casanare,2039.0,Total,552.256
85.0,Casanare,2040.0,Total,555.990
85.0,Casanare,2041.0,Total,559.548
85.0,Casanare,2042.0,Total,562.931
85.0,Casanare,2043.0,Total,566.149
85.0,Casanare,2044.0,Total,569.194
85.0,Casanare,2045.0,Total,572.059
85.0,Casanare,2046.0,Total,574.747
85.0,Casanare,2047.0,Total,577.256
85.0,Casanare,2048.0,Total,579.591
85.0,Casanare,2049.0,Total,581.753
85.0,Casanare,2050.0,Total,583.735
86.0,Putumayo,2020.0,Cabecera,185.589
86.0,Putumayo,2020.0,Centros Poblados y Rural Disperso,179.294
86.0,Putumayo,2020.0,Total,364.883
86.0,Putumayo,2021.0,Cabecera,190.143
86.0,Putumayo,2021.0,Centros Poblados y Rural Disperso,181.070
86.0,Putumayo,2021.0,Total,371.213
86.0,Putumayo,2022.0,Cabecera,194.348
86.0,Putumayo,2022.0,Centros Poblados y Rural Disperso,182.747
86.0,Putumayo,2022.0,Total,377.095
86.0,Putumayo,2023.0,Cabecera,198.450
86.0,Putumayo,2023.0,Centros Poblados y Rural Disperso,184.592
86.0,Putumayo,2023.0,Total,383.042
86.0,Putumayo,2024.0,Cabecera,202.466
86.0,Putumayo,2024.0,Centros Poblados y Rural Disperso,186.250
86.0,Putumayo,2024.0,Total,388.716
86.0,Putumayo,2025.0,Cabecera,206.247
86.0,Putumayo,2025.0,Centros Poblados y Rural Disperso,187.741
86.0,Putumayo,2025.0,Total,393.988
86.0,Putumayo,2026.0,Cabecera,209.786
86.0,Putumayo,2026.0,Centros Poblados y Rural Disperso,189.147
86.0,Putumayo,2026.0,Total,398.933
86.0,Putumayo,2027.0,Cabecera,213.015
86.0,Putumayo,2027.0,Centros Poblados y Rural Disperso,190.659
86.0,Putumayo,2027.0,Total,403.674
86.0,Putumayo,2028.0,Cabecera,216.301
86.0,Putumayo,2028.0,Centros Poblados y Rural Disperso,191.947
86.0,Putumayo,2028.0,Total,408.248
86.0,Putumayo,2029.0,Cabecera,219.433
86.0,Putumayo,2029.0,Centros Poblados y Rural Disperso,193.252
86.0,Putumayo,2029.0,Total,412.685
86.0,Putumayo,2030.0,Cabecera,222.475
86.0,Putumayo,2030.0,Centros Poblados y Rural Disperso,194.545
86.0,Putumayo,2030.0,Total,417.020
86.0,Putumayo,2031.0,Cabecera,225.265
86.0,Putumayo,2031.0,Centros Poblados y Rural Disperso,195.993
86.0,Putumayo,2031.0,Total,421.258
86.0,Putumayo,2032.0,Cabecera,228.180
86.0,Putumayo,2032.0,Centros Poblados y Rural Disperso,197.201
86.0,Putumayo,2032.0,Total,425.381
86.0,Putumayo,2033.0,Cabecera,231.048
86.0,Putumayo,2033.0,Centros Poblados y Rural Disperso,198.335
86.0,Putumayo,2033.0,Total,429.383
86.0,Putumayo,2034.0,Cabecera,233.905
86.0,Putumayo,2034.0,Centros Poblados y Rural Disperso,199.367
86.0,Putumayo,2034.0,Total,433.272
86.0,Putumayo,2035.0,Cabecera,236.572
86.0,Putumayo,2035.0,Centros Poblados y Rural Disperso,200.473
86.0,Putumayo,2035.0,Total,437.045
86.0,Putumayo,2036.0,Total,440.689
86.0,Putumayo,2037.0,Total,444.205
86.0,Putumayo,2038.0,Total,447.589
86.0,Putumayo,2039.0,Total,450.833
86.0,Putumayo,2040.0,Total,453.942
86.0,Putumayo,2041.0,Total,456.919
86.0,Putumayo,2042.0,Total,459.761
86.0,Putumayo,2043.0,Total,462.465
86.0,Putumayo,2044.0,Total,465.030
86.0,Putumayo,2045.0,Total,467.462
86.0,Putumayo,2046.0,Total,469.761
86.0,Putumayo,2047.0,Total,471.925
86.0,Putumayo,2048.0,Total,473.961
86.0,Putumayo,2049.0,Total,475.860
86.0,Putumayo,2050.0,Total,477.616
88.0,Archipiélago de San Andrés,2020.0,Cabecera,44.308
88.0,Archipiélago de San Andrés,2020.0,Centros Poblados y Rural Disperso,17.590
88.0,Archipiélago de San Andrés,2020.0,Total,61.898
88.0,Archipiélago de San Andrés,2021.0,Cabecera,44.196
88.0,Archipiélago de San Andrés,2021.0,Centros Poblados y Rural Disperso,17.963
88.0,Archipiélago de San Andrés,2021.0,Total,62.159
88.0,Archipiélago de San Andrés,2022.0,Cabecera,44.284
88.0,Archipiélago de San Andrés,2022.0,Centros Poblados y Rural Disperso,17.971
88.0,Archipiélago de San Andrés,2022.0,Total,62.255
88.0,Archipiélago de San Andrés,2023.0,Cabecera,44.409
88.0,Archipiélago de San Andrés,2023.0,Centros Poblados y Rural Disperso,17.860
88.0,Archipiélago de San Andrés,2023.0,Total,62.269
88.0,Archipiélago de San Andrés,2024.0,Cabecera,44.563
88.0,Archipiélago de San Andrés,2024.0,Centros Poblados y Rural Disperso,17.686
88.0,Archipiélago de San Andrés,2024.0,Total,62.249
88.0,Archipiélago de San Andrés,2025.0,Cabecera,44.723
88.0,Archipiélago de San Andrés,2025.0,Centros Poblados y Rural Disperso,17.458
88.0,Archipiélago de San Andrés,2025.0,Total,62.181
88.0,Archipiélago de San Andrés,2026.0,Cabecera,44.869
88.0,Archipiélago de San Andrés,2026.0,Centros Poblados y Rural Disperso,17.199
88.0,Archipiélago de San Andrés,2026.0,Total,62.068
88.0,Archipiélago de San Andrés,2027.0,Cabecera,45.047
88.0,Archipiélago de San Andrés,2027.0,Centros Poblados y Rural Disperso,16.880
88.0,Archipiélago de San Andrés,2027.0,Total,61.927
88.0,Archipiélago de San Andrés,2028.0,Cabecera,45.228
88.0,Archipiélago de San Andrés,2028.0,Centros Poblados y Rural Disperso,16.536
88.0,Archipiélago de San Andrés,2028.0,Total,61.764
88.0,Archipiélago de San Andrés,2029.0,Cabecera,45.427
88.0,Archipiélago de San Andrés,2029.0,Centros Poblados y Rural Disperso,16.156
88.0,Archipiélago de San Andrés,2029.0,Total,61.583
88.0,Archipiélago de San Andrés,2030.0,Cabecera,45.633
88.0,Archipiélago de San Andrés,2030.0,Centros Poblados y Rural Disperso,15.747
88.0,Archipiélago de San Andrés,2030.0,Total,61.380
88.0,Archipiélago de San Andrés,2031.0,Cabecera,45.840
88.0,Archipiélago de San Andrés,2031.0,Centros Poblados y Rural Disperso,15.326
88.0,Archipiélago de San Andrés,2031.0,Total,61.166
88.0,Archipiélago de San Andrés,2032.0,Cabecera,46.037
88.0,Archipiélago de San Andrés,2032.0,Centros Poblados y Rural Disperso,14.909
88.0,Archipiélago de San Andrés,2032.0,Total,60.946
88.0,Archipiélago de San Andrés,2033.0,Cabecera,46.214
88.0,Archipiélago de San Andrés,2033.0,Centros Poblados y Rural Disperso,14.498
88.0,Archipiélago de San Andrés,2033.0,Total,60.712
88.0,Archipiélago de San Andrés,2034.0,Cabecera,46.372
88.0,Archipiélago de San Andrés,2034.0,Centros Poblados y Rural Disperso,14.087
88.0,Archipiélago de San Andrés,2034.0,Total,60.459
88.0,Archipiélago de San Andrés,2035.0,Cabecera,46.505
88.0,Archipiélago de San Andrés,2035.0,Centros Poblados y Rural Disperso,13.690
88.0,Archipiélago de San Andrés,2035.0,Total,60.195
88.0,Archipiélago de San Andrés,2036.0,Total,59.920
88.0,Archipiélago de San Andrés,2037.0,Total,59.625
88.0,Archipiélago de San Andrés,2038.0,Total,59.314
88.0,Archipiélago de San Andrés,2039.0,Total,58.986
88.0,Archipiélago de San Andrés,2040.0,Total,58.647
88.0,Archipiélago de San Andrés,2041.0,Total,58.298
88.0,Archipiélago de San Andrés,2042.0,Total,57.934
88.0,Archipiélago de San Andrés,2043.0,Total,57.555
88.0,Archipiélago de San Andrés,2044.0,Total,57.159
88.0,Archipiélago de San Andrés,2045.0,Total,56.750
88.0,Archipiélago de San Andrés,2046.0,Total,56.325
88.0,Archipiélago de San Andrés,2047.0,Total,55.883
88.0,Archipiélago de San Andrés,2048.0,Total,55.428
88.0,Archipiélago de San Andrés,2049.0,Total,54.961
88.0,Archipiélago de San Andrés,2050.0,Total,54.483
91.0,Amazonas,2020.0,Cabecera,39.835
91.0,Amazonas,2020.0,Centros Poblados y Rural Disperso,40.637
91.0,Amazonas,2020.0,Total,80.472
91.0,Amazonas,2021.0,Cabecera,41.089
91.0,Amazonas,2021.0,Centros Poblados y Rural Disperso,41.082
91.0,Amazonas,2021.0,Total,82.171
91.0,Amazonas,2022.0,Cabecera,42.170
91.0,Amazonas,2022.0,Centros Poblados y Rural Disperso,41.520
91.0,Amazonas,2022.0,Total,83.690
91.0,Amazonas,2023.0,Cabecera,43.220
91.0,Amazonas,2023.0,Centros Poblados y Rural Disperso,41.836
91.0,Amazonas,2023.0,Total,85.056
91.0,Amazonas,2024.0,Cabecera,44.170
91.0,Amazonas,2024.0,Centros Poblados y Rural Disperso,42.148
91.0,Amazonas,2024.0,Total,86.318
91.0,Amazonas,2025.0,Cabecera,45.049
91.0,Amazonas,2025.0,Centros Poblados y Rural Disperso,42.431
91.0,Amazonas,2025.0,Total,87.480
91.0,Amazonas,2026.0,Cabecera,45.879
91.0,Amazonas,2026.0,Centros Poblados y Rural Disperso,42.676
91.0,Amazonas,2026.0,Total,88.555
91.0,Amazonas,2027.0,Cabecera,46.662
91.0,Amazonas,2027.0,Centros Poblados y Rural Disperso,42.919
91.0,Amazonas,2027.0,Total,89.581
91.0,Amazonas,2028.0,Cabecera,47.388
91.0,Amazonas,2028.0,Centros Poblados y Rural Disperso,43.172
91.0,Amazonas,2028.0,Total,90.560
91.0,Amazonas,2029.0,Cabecera,48.076
91.0,Amazonas,2029.0,Centros Poblados y Rural Disperso,43.429
91.0,Amazonas,2029.0,Total,91.505
91.0,Amazonas,2030.0,Cabecera,48.710
91.0,Amazonas,2030.0,Centros Poblados y Rural Disperso,43.712
91.0,Amazonas,2030.0,Total,92.422
91.0,Amazonas,2031.0,Cabecera,49.374
91.0,Amazonas,2031.0,Centros Poblados y Rural Disperso,43.942
91.0,Amazonas,2031.0,Total,93.316
91.0,Amazonas,2032.0,Cabecera,49.963
91.0,Amazonas,2032.0,Centros Poblados y Rural Disperso,44.228
91.0,Amazonas,2032.0,Total,94.191
91.0,Amazonas,2033.0,Cabecera,50.551
91.0,Amazonas,2033.0,Centros Poblados y Rural Disperso,44.488
91.0,Amazonas,2033.0,Total,95.039
91.0,Amazonas,2034.0,Cabecera,51.125
91.0,Amazonas,2034.0,Centros Poblados y Rural Disperso,44.736
91.0,Amazonas,2034.0,Total,95.861
91.0,Amazonas,2035.0,Cabecera,51.688
91.0,Amazonas,2035.0,Centros Poblados y Rural Disperso,44.975
91.0,Amazonas,2035.0,Total,96.663
91.0,Amazonas,2036.0,Total,97.436
91.0,Amazonas,2037.0,Total,98.178
91.0,Amazonas,2038.0,Total,98.889
91.0,Amazonas,2039.0,Total,99.569
91.0,Amazonas,2040.0,Total,100.219
91.0,Amazonas,2041.0,Total,100.837
91.0,Amazonas,2042.0,Total,101.424
91.0,Amazonas,2043.0,Total,101.981
91.0,Amazonas,2044.0,Total,102.509
91.0,Amazonas,2045.0,Total,103.008
91.0,Amazonas,2046.0,Total,103.474
91.0,Amazonas,2047.0,Total,103.909
91.0,Amazonas,2048.0,Total,104.315
91.0,Amazonas,2049.0,Total,104.691
91.0,Amazonas,2050.0,Total,105.037
94.0,Guainía,2020.0,Cabecera,23.575
94.0,Guainía,2020.0,Centros Poblados y Rural Disperso,28.431
94.0,Guainía,2020.0,Total,52.006
94.0,Guainía,2021.0,Cabecera,24.456
94.0,Guainía,2021.0,Centros Poblados y Rural Disperso,29.127
94.0,Guainía,2021.0,Total,53.583
94.0,Guainía,2022.0,Cabecera,25.306
94.0,Guainía,2022.0,Centros Poblados y Rural Disperso,29.785
94.0,Guainía,2022.0,Total,55.091
94.0,Guainía,2023.0,Cabecera,26.161
94.0,Guainía,2023.0,Centros Poblados y Rural Disperso,30.390
94.0,Guainía,2023.0,Total,56.551
94.0,Guainía,2024.0,Cabecera,26.944
94.0,Guainía,2024.0,Centros Poblados y Rural Disperso,30.990
94.0,Guainía,2024.0,Total,57.934
94.0,Guainía,2025.0,Cabecera,27.691
94.0,Guainía,2025.0,Centros Poblados y Rural Disperso,31.549
94.0,Guainía,2025.0,Total,59.240
94.0,Guainía,2026.0,Cabecera,28.380
94.0,Guainía,2026.0,Centros Poblados y Rural Disperso,32.113
94.0,Guainía,2026.0,Total,60.493
94.0,Guainía,2027.0,Cabecera,29.079
94.0,Guainía,2027.0,Centros Poblados y Rural Disperso,32.646
94.0,Guainía,2027.0,Total,61.725
94.0,Guainía,2028.0,Cabecera,29.736
94.0,Guainía,2028.0,Centros Poblados y Rural Disperso,33.206
94.0,Guainía,2028.0,Total,62.942
94.0,Guainía,2029.0,Cabecera,30.328
94.0,Guainía,2029.0,Centros Poblados y Rural Disperso,33.819
94.0,Guainía,2029.0,Total,64.147
94.0,Guainía,2030.0,Cabecera,30.896
94.0,Guainía,2030.0,Centros Poblados y Rural Disperso,34.459
94.0,Guainía,2030.0,Total,65.355
94.0,Guainía,2031.0,Cabecera,31.486
94.0,Guainía,2031.0,Centros Poblados y Rural Disperso,35.082
94.0,Guainía,2031.0,Total,66.568
94.0,Guainía,2032.0,Cabecera,32.050
94.0,Guainía,2032.0,Centros Poblados y Rural Disperso,35.725
94.0,Guainía,2032.0,Total,67.775
94.0,Guainía,2033.0,Cabecera,32.627
94.0,Guainía,2033.0,Centros Poblados y Rural Disperso,36.346
94.0,Guainía,2033.0,Total,68.973
94.0,Guainía,2034.0,Cabecera,33.179
94.0,Guainía,2034.0,Centros Poblados y Rural Disperso,36.982
94.0,Guainía,2034.0,Total,70.161
94.0,Guainía,2035.0,Cabecera,33.761
94.0,Guainía,2035.0,Centros Poblados y Rural Disperso,37.578
94.0,Guainía,2035.0,Total,71.339
94.0,Guainía,2036.0,Total,72.505
94.0,Guainía,2037.0,Total,73.655
94.0,Guainía,2038.0,Total,74.789
94.0,Guainía,2039.0,Total,75.909
94.0,Guainía,2040.0,Total,77.012
94.0,Guainía,2041.0,Total,78.094
94.0,Guainía,2042.0,Total,79.158
94.0,Guainía,2043.0,Total,80.207
94.0,Guainía,2044.0,Total,81.239
94.0,Guainía,2045.0,Total,82.254
94.0,Guainía,2046.0,Total,83.251
94.0,Guainía,2047.0,Total,84.238
94.0,Guainía,2048.0,Total,85.214
94.0,Guainía,2049.0,Total,86.173
94.0,Guainía,2050.0,Total,87.114
95.0,Guaviare,2020.0,Cabecera,49.591
95.0,Guaviare,2020.0,Centros Poblados y Rural Disperso,39.459
95.0,Guaviare,2020.0,Total,89.050
95.0,Guaviare,2021.0,Cabecera,51.222
95.0,Guaviare,2021.0,Centros Poblados y Rural Disperso,40.495
95.0,Guaviare,2021.0,Total,91.717
95.0,Guaviare,2022.0,Cabecera,52.990
95.0,Guaviare,2022.0,Centros Poblados y Rural Disperso,41.635
95.0,Guaviare,2022.0,Total,94.625
95.0,Guaviare,2023.0,Cabecera,54.734
95.0,Guaviare,2023.0,Centros Poblados y Rural Disperso,42.882
95.0,Guaviare,2023.0,Total,97.616
95.0,Guaviare,2024.0,Cabecera,56.402
95.0,Guaviare,2024.0,Centros Poblados y Rural Disperso,44.095
95.0,Guaviare,2024.0,Total,100.497
95.0,Guaviare,2025.0,Cabecera,57.976
95.0,Guaviare,2025.0,Centros Poblados y Rural Disperso,45.261
95.0,Guaviare,2025.0,Total,103.237
95.0,Guaviare,2026.0,Cabecera,59.449
95.0,Guaviare,2026.0,Centros Poblados y Rural Disperso,46.406
95.0,Guaviare,2026.0,Total,105.855
95.0,Guaviare,2027.0,Cabecera,60.815
95.0,Guaviare,2027.0,Centros Poblados y Rural Disperso,47.592
95.0,Guaviare,2027.0,Total,108.407
95.0,Guaviare,2028.0,Cabecera,62.141
95.0,Guaviare,2028.0,Centros Poblados y Rural Disperso,48.758
95.0,Guaviare,2028.0,Total,110.899
95.0,Guaviare,2029.0,Cabecera,63.393
